entry,hour,packets,bytes,sessions,type
383,1920,21265,9590656,1586,Server
384,1920,2770,374481,659,Network
385,1920,14267990,8527836061,334320,Workstation
387,1925,9054,6570746,11,Printer
388,1925,801158,794373035,1293,Server
389,1925,2956,394172,603,Network
390,1925,17863050,11463188612,347307,Workstation
392,1930,17,1149,5,Printer
393,1930,59522,14718486,1392,Server
394,1930,2538,394601,639,Network
395,1930,17498728,11566792180,341028,Workstation
397,1935,0,0,0,Printer
398,1935,17660,7849495,1569,Server
399,1935,2643,410027,628,Network
400,1935,16363198,10684927117,360662,Workstation
402,1940,0,0,0,Printer
403,1940,23898,12331139,1862,Server
404,1940,2617,383232,591,Network
405,1940,15529914,10305165831,382929,Workstation
407,1945,0,0,0,Printer
408,1945,66978,50399707,1746,Server
409,1945,2909,454824,639,Network
410,1945,18510765,10327570324,408342,Workstation
412,1950,0,0,0,Printer
413,1950,18939,6992117,1463,Server
414,1950,2960,466020,644,Network
415,1950,14787810,9244582183,362662,Workstation
417,1955,0,0,0,Printer
418,1955,246577,198641486,1707,Server
419,1955,3139,485634,613,Network
420,1955,14223931,8879600214,342641,Workstation
422,2000,0,0,0,Printer
423,2000,192993,142079944,1715,Server
424,2000,6076,1104231,530,Network
425,2000,19414865,12006030681,296230,Workstation
427,2005,0,0,0,Printer
428,2005,29620,10085018,1719,Server
429,2005,2338,328938,557,Network
430,2005,19887146,12688231774,339938,Workstation
432,2010,0,0,0,Printer
433,2010,1126115,1146568554,1553,Server
434,2010,2827,407415,577,Network
435,2010,23856472,13981122932,339016,Workstation
437,2015,0,0,0,Printer
438,2015,73476,51681403,1386,Server
439,2015,2661,410480,598,Network
440,2015,13777875,8322819737,315647,Workstation
442,2020,0,0,0,Printer
443,2020,31457,15911492,1897,Server
444,2020,3012,421753,615,Network
445,2020,13987929,8384755412,317777,Workstation
447,2025,72,28321,9,Printer
448,2025,28871,10245626,1485,Server
449,2025,5788,1010755,647,Network
450,2025,15871946,9038130819,296517,Workstation
452,2030,12,1774,1,Printer
453,2030,28768,13444637,1570,Server
454,2030,2726,436056,634,Network
455,2030,15624916,9625871853,298356,Workstation
457,2035,78,7198,7,Printer
458,2035,63440,48864731,1782,Server
459,2035,2956,472496,622,Network
460,2035,19901849,11415671547,331240,Workstation
462,2040,5121,3741087,24,Printer
463,2040,25105,9946330,1927,Server
464,2040,3072,441851,636,Network
465,2040,14711916,8957786460,299201,Workstation
467,2045,63,4744,8,Printer
468,2045,95354,24997817,1750,Server
469,2045,3232,514520,668,Network
470,2045,14164392,7591792538,334774,Workstation
472,2050,5055,3703570,18,Printer
473,2050,21389,8262209,1648,Server
474,2050,5829,623594,625,Network
475,2050,11490387,7016145418,295183,Workstation
477,2055,371,262386,2,Printer
478,2055,115487,55164117,1691,Server
479,2055,11802,2248217,676,Network
480,2055,16736260,9802945453,278907,Workstation
